Date,Open,High,Low,Close,Volume
2025-10-10,254.94,256.38,244.0,245.27,61999098.0
2025-10-13,249.38,249.69,245.56,247.66,38142942.0
2025-10-14,246.6,248.845,244.7,247.77,35477986.0
2025-10-15,249.485,251.82,247.47,249.34,33893611.0
2025-10-16,248.25,249.04,245.13,247.45,39776974.0
2025-10-17,248.02,253.38,247.27,252.29,49146961.0
2025-10-20,255.885,264.375,255.63,262.24,90483029.0
2025-10-21,261.88,265.29,261.83,262.77,46695748.0
2025-10-22,262.65,262.85,255.43,258.45,45011970.0
2025-10-23,259.94,260.62,258.0101,259.58,32752139.0
2025-10-24,261.19,264.13,259.18,262.82,38253517.0
2025-10-27,264.88,269.12,264.6501,268.81,44888052.0
2025-10-28,268.985,269.89,268.15,269.0,41534547.0
2025-10-29,269.275,271.41,267.11,269.7,51086742.0
2025-10-30,271.99,274.14,268.48,271.4,69886281.0
2025-10-31,276.99,277.32,269.16,270.37,86167123.0
2025-11-03,270.42,270.85,266.25,269.05,50194063.0
2025-11-04,268.325,271.486,267.615,270.04,49271745.0
2025-11-05,268.61,271.7,266.93,270.14,43682972.0
2025-11-06,267.89,273.4,267.89,269.77,51203925.0
2025-11-07,269.795,272.29,266.77,268.47,48227365.0
2025-11-10,268.96,273.73,267.455,269.43,41312312.0
2025-11-11,269.81,275.91,269.8,275.25,46201578.0
2025-11-12,275.0,275.73,271.7,273.47,48395767.0
2025-11-13,274.11,276.699,272.09,272.95,49602794.0
2025-11-14,271.05,275.96,269.6,272.41,47431201.0
2025-11-17,268.815,270.49,265.73,267.46,44958759.0
2025-11-18,269.99,270.71,265.32,267.44,45677270.0
2025-11-19,265.525,272.21,265.5,268.56,40334193.0
2025-11-20,270.83,275.43,265.92,266.25,45728132.0
