Date,Open,High,Low,Close,Volume
2025-10-14,184.77,184.8,179.7,180.03,205641380.0
2025-10-15,184.8,184.87,177.29,179.83,214450482.0
2025-10-16,182.23,183.28,179.77,181.81,179723309.0
2025-10-17,180.18,184.1,179.75,183.22,173135217.0
2025-10-20,183.13,185.2,181.73,182.64,128541265.0
2025-10-21,182.785,182.785,179.8,181.16,124240168.0
2025-10-22,181.14,183.44,176.76,180.28,162249552.0
2025-10-23,180.42,183.03,179.7901,182.16,111357857.0
2025-10-24,183.835,187.47,183.5,186.26,131284997.0
2025-10-27,189.99,192.0,188.4318,191.49,153451565.0
2025-10-28,193.05,203.15,191.91,201.03,297970590.0
2025-10-29,207.98,212.1899,204.775,207.04,308822352.0
2025-10-30,205.15,206.16,201.41,202.89,178859778.0
2025-10-31,206.45,207.97,202.07,202.49,179798344.0
2025-11-03,208.08,211.335,205.56,206.88,180265342.0
2025-11-04,203.0,203.9699,197.93,198.69,188894759.0
2025-11-05,198.77,202.92,194.65,195.21,171348782.0
2025-11-06,196.42,197.62,186.38,188.08,223024989.0
2025-11-07,184.9,188.32,178.91,188.15,264939772.0
2025-11-10,195.11,199.94,193.79,199.05,198884804.0
2025-11-11,195.155,195.42,191.3,193.16,176446659.0
2025-11-12,195.72,195.89,191.13,193.8,154928125.0
2025-11-13,191.05,191.44,183.85,186.86,207420774.0
2025-11-14,182.86,191.01,180.58,190.17,186588499.0
2025-11-17,185.965,189.0,184.32,186.6,173623379.0
2025-11-18,183.375,184.8,179.65,181.36,213594749.0
2025-11-19,184.79,187.855,182.8301,186.52,247238094.0
2025-11-20,195.95,196.0,179.85,180.64,343500467.0
2025-11-21,181.235,184.56,172.93,178.88,346920745.0
2025-11-24,179.49,183.5,176.48,182.55,256589462.0
