Date,Open,High,Low,Close,Volume
2025-02-03,72.23,72.425,72.0616,72.17,7163803.0
2025-02-04,72.04,72.29,71.9701,72.27,7296233.0
2025-02-05,72.52,72.76,72.5,72.64,8981687.0
2025-02-06,72.56,72.65,72.48,72.56,5722073.0
2025-02-07,72.39,72.44,72.2743,72.34,6415636.0
2025-02-10,72.45,72.51,72.32,72.36,5439533.0
2025-02-11,72.31,72.31,72.18,72.24,6871183.0
2025-02-12,71.925,71.99,71.75,71.87,5279616.0
2025-02-13,72.16,72.37,72.07,72.3,6452940.0
2025-02-14,72.46,72.68,72.46,72.53,6131695.0
2025-02-18,72.345,72.45,72.25,72.26,7151704.0
2025-02-19,72.285,72.39,72.2149,72.36,4720798.0
2025-02-20,72.46,72.5,72.42,72.45,6199049.0
2025-02-21,72.535,72.86,72.53,72.765,4460631.0
2025-02-24,72.7,72.92,72.69,72.87,5580117.0
2025-02-25,73.11,73.33,73.05,73.33,4835591.0
2025-02-26,73.31,73.48,73.2133,73.44,5825665.0
2025-02-27,73.305,73.415,73.22,73.35,14908532.0
2025-02-28,73.52,73.685,73.405,73.66,8363466.0
2025-03-03,73.25,73.6299,73.22,73.61,7549672.0
2025-03-04,73.61,73.75,73.3232,73.4,7693140.0
2025-03-05,73.3,73.515,73.13,73.14,7758398.0
2025-03-06,73.105,73.2,72.9001,73.08,7196421.0
2025-03-07,73.33,73.37,72.95,73.0,5036333.0
2025-03-10,73.3,73.47,73.27,73.34,8166967.0
2025-03-11,73.2,73.425,73.04,73.06,8359398.0
2025-03-12,72.91,73.0556,72.89,72.91,6192986.0
2025-03-13,72.915,73.15,72.765,73.13,4711554.0
2025-03-14,73.02,73.07,72.945,72.95,5095057.0
2025-03-17,73.13,73.24,73.012,73.05,4773287.0
2025-03-18,72.98,73.22,72.97,73.13,4196326.0
2025-03-19,73.07,73.38,73.0,73.35,4201613.0
2025-03-20,73.65,73.665,73.354,73.38,3760920.0
2025-03-21,73.445,73.515,73.3,73.32,7078526.0
2025-03-24,73.19,73.22,72.98,73.0,5637341.0
2025-03-25,73.0,73.1699,72.99,73.09,6133739.0
2025-03-26,73.02,73.0591,72.89,72.93,4881976.0
2025-03-27,72.88,72.92,72.82,72.9,5568322.0
2025-03-28,73.16,73.35,73.07,73.32,4850495.0
2025-03-31,73.5,73.56,73.27,73.45,7106111.0
2025-04-01,73.22,73.5768,73.21,73.44,4667878.0
2025-04-02,73.61,73.6196,73.18,73.38,5313061.0
2025-04-03,73.76,73.995,73.62,73.76,7426162.0
2025-04-04,74.2,74.34,73.71,73.82,12677993.0
2025-04-07,73.65,73.69,72.85,72.93,14282990.0
2025-04-08,72.92,73.05,72.4601,72.51,12629156.0
2025-04-09,71.49,72.7,71.4804,72.68,20862040.0
2025-04-10,72.42,72.6099,72.06,72.1,8058517.0
2025-04-11,71.69,72.15,71.41,72.02,7260413.0
