Date,Open,High,Low,Close,Volume
2025-10-10,241.43,244.09,235.84,236.57,33180323.0
2025-10-13,240.21,244.5,239.71,244.15,24995028.0
2025-10-14,241.23,247.12,240.51,245.45,22111572.0
2025-10-15,247.245,252.11,245.99,251.03,27007690.0
2025-10-16,251.765,256.96,250.101,251.46,27997159.0
2025-10-17,250.76,254.22,247.81,253.3,29671629.0
2025-10-20,254.69,257.33,254.23,256.55,22350077.0
2025-10-21,254.74,254.88,244.15,250.46,47312098.0
2025-10-22,254.37,256.36,249.29,251.69,35029370.0
2025-10-23,252.98,255.04,251.85,253.08,19901325.0
2025-10-24,256.58,261.68,255.315,259.92,28655026.0
2025-10-27,264.815,270.14,264.28,269.27,35235031.0
2025-10-28,269.69,270.73,266.5,267.47,29738554.0
2025-10-29,267.75,275.336,267.67,274.57,43580177.0
2025-10-30,291.59,291.59,280.06,281.48,74875990.0
2025-10-31,283.21,286.0,277.03,281.19,39267645.0
2025-11-03,282.175,285.53,279.8,283.72,29785996.0
2025-11-04,276.75,281.27,276.26,277.54,30078369.0
2025-11-05,278.87,286.415,277.34,284.31,31010102.0
2025-11-06,285.33,288.35,281.14,284.75,37173648.0
2025-11-07,283.205,283.78,275.19,278.83,34479588.0
2025-11-10,284.42,290.8,282.855,290.1,29557309.0
2025-11-11,287.745,291.915,287.32,291.31,19842136.0
2025-11-12,291.675,292.005,283.69,286.71,24829734.0
2025-11-13,282.34,282.84,277.24,278.57,29494038.0
2025-11-14,271.405,278.56,270.7,276.41,31646923.0
2025-11-17,285.775,293.95,283.57,285.02,52670031.0
2025-11-18,287.915,288.8,278.2,284.28,49158743.0
2025-11-19,287.16,303.81,286.63,292.81,68198844.0
2025-11-20,304.54,306.42,288.67,289.45,62024856.0
