Date,Open,High,Low,Close,Volume
2025-10-10,611.4,613.18,589.05,589.5,97614783.0
2025-10-13,599.68,602.95,597.23,602.01,65872584.0
2025-10-14,595.31,602.69,590.13,598.0,69203187.0
2025-10-15,604.01,606.7,595.93,602.22,62805456.0
2025-10-16,605.11,608.31,595.5,599.99,70981963.0
2025-10-17,597.95,605.51,596.37,603.93,72024872.0
2025-10-20,607.14,612.8,607.065,611.54,45761697.0
2025-10-21,611.64,612.7213,609.32,611.38,44538161.0
2025-10-22,610.82,611.41,599.74,605.49,61478802.0
2025-10-23,604.91,611.37,604.52,610.58,42844298.0
2025-10-24,615.99,618.42,615.13,617.1,47632473.0
2025-10-27,624.52,628.55,624.03,628.09,54098611.0
2025-10-28,630.36,634.68,629.25,632.92,61195733.0
2025-10-29,635.59,637.01,630.25,635.77,67422576.0
2025-10-30,632.17,633.5,625.94,626.05,61628511.0
2025-10-31,634.17,634.2,626.69,629.07,66305047.0
2025-11-03,635.11,635.82,629.85,632.08,37154267.0
2025-11-04,623.28,626.95,618.455,619.25,63830768.0
2025-11-05,618.49,626.6,617.21,623.28,48688484.0
2025-11-06,621.79,622.04,610.3,611.67,72115048.0
2025-11-07,608.31,609.95,598.67,609.74,81835388.0
2025-11-10,618.92,624.31,616.89,623.23,55919731.0
2025-11-11,620.57,622.72,617.52,621.57,44868841.0
2025-11-12,624.84,624.86,617.81,621.08,47444384.0
2025-11-13,617.54,618.12,606.08,608.4,71333614.0
2025-11-14,599.55,613.35,597.17,608.86,80087131.0
2025-11-17,606.3,612.48,599.87,603.66,63850367.0
2025-11-18,599.62,602.31,591.34,596.31,83326649.0
2025-11-19,597.07,606.16,594.59,599.87,73111387.0
2025-11-20,611.62,614.03,584.75,585.67,117742495.0
