Date,Open,High,Low,Close,Volume
2025-10-16,613.11,614.8,604.14,607.39,7594824.0
2025-10-17,606.34,612.02,605.1,610.76,6910972.0
2025-10-20,613.51,618.01,613.51,617.17,4086209.0
2025-10-21,617.33,618.74,615.981,617.09,4216197.0
2025-10-22,617.83,617.83,609.83,613.97,6961589.0
2025-10-23,614.25,618.474,613.99,617.44,5851842.0
2025-10-24,621.92,623.7899,621.207,622.55,5694867.0
2025-10-27,627.74,630.29,627.16,630.0,7804316.0
2025-10-28,631.71,633.39,629.64,631.69,5625627.0
2025-10-29,633.21,634.13,627.87,631.95,6104537.0
2025-10-30,628.81,630.63,625.1,625.24,6243275.0
2025-10-31,629.84,629.94,624.5,627.04,7058629.0
2025-11-03,630.42,630.54,625.16,628.27,5568051.0
2025-11-04,621.65,625.17,620.2,620.99,8390532.0
2025-11-05,620.59,626.0,619.83,622.86,10323060.0
2025-11-06,621.96,622.79,614.82,616.24,7099355.0
2025-11-07,614.09,617.02,607.92,616.89,7571254.0
2025-11-10,622.69,627.21,620.66,626.47,8424969.0
2025-11-11,625.16,628.49,624.07,627.91,5632468.0
2025-11-12,629.65,629.77,626.1,628.22,6090220.0
2025-11-13,625.67,626.02,616.51,617.99,13061971.0
2025-11-14,611.75,621.2199,609.83,617.83,9679472.0
2025-11-17,615.74,619.4485,608.81,612.04,8895712.0
2025-11-18,608.72,611.51,603.0,607.0,8534338.0
2025-11-19,607.52,613.5699,605.67,609.2,7449382.0
2025-11-20,618.72,621.1288,599.36,599.96,13984992.0
2025-11-21,602.25,611.01,598.38,605.93,9821397.0
2025-11-24,609.28,616.09,608.305,614.94,6242684.0
2025-11-25,614.78,621.75,610.99,620.66,7389540.0
2025-11-26,623.06,626.81,622.26,624.95,5323215.0
